260112 21:45:01	1 Connect	user1@localhost on practica using TCP/IP
260111 15:17:32	75 Query	SELECT * FROM articulos
260111 15:17:55	75 Query	SELECT * FROM proveedores
260111 15:18:37	75 Quit	
260111 14:57:01	76 Connect	user76@localhost on practica using TCP/IP
260111 14:57:16	76 Query	SELECT * FROM clientes
260111 14:58:13	76 Query	SELECT * FROM ventas
260111 14:59:54	76 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 15:00:03	76 Quit	
260111 14:38:01	77 Connect	user77@localhost on practica using TCP/IP
260111 14:39:44	77 Query	SELECT * FROM ventas
260111 14:41:43	77 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 14:42:52	77 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 14:43:06	77 Quit	
260111 14:25:01	78 Connect	user78@localhost on practica using TCP/IP
260111 14:25:32	78 Query	SHOW COLUMNS FROM articulos
260111 14:26:04	78 Query	SHOW TABLES
260111 14:28:04	78 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 14:28:35	78 Quit	
260111 13:55:01	79 Connect	user79@localhost on practica using TCP/IP
260111 13:56:25	79 Query	SHOW TABLES
260111 13:58:06	79 Query	SELECT * FROM ventas
260111 13:58:51	79 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 13:59:31	79 Query	SHOW TABLES
260111 14:00:39	79 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 14:01:15	79 Quit	
260111 13:39:01	80 Connect	user80@localhost on practica using TCP/IP
260111 13:39:11	80 Query	SELECT * FROM ventas
260111 13:40:05	80 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 13:41:34	80 Query	SELECT * FROM articulos
260111 13:42:28	80 Query	SHOW COLUMNS FROM articulos
260111 13:43:40	80 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 13:44:19	80 Quit	
260111 12:55:01	81 Connect	user81@localhost on practica using TCP/IP
260111 12:55:53	81 Query	SELECT * FROM articulos
260111 12:56:59	81 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 12:58:27	81 Query	SELECT * FROM clientes
260111 12:59:58	81 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 13:00:23	81 Quit	
260111 12:43:01	82 Connect	user82@localhost on practica using TCP/IP
260111 12:44:00	82 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 12:45:33	82 Query	SELECT * FROM articulos
260111 12:45:42	82 Query	SELECT * FROM ventas
260111 12:46:38	82 Query	SELECT * FROM articulos
260111 12:47:11	82 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 12:47:58	82 Quit	
260111 12:29:01	83 Connect	user83@localhost on practica using TCP/IP
260111 12:30:22	83 Query	SHOW TABLES
260111 12:30:29	83 Query	SHOW TABLES
260111 12:31:37	83 Query	SELECT * FROM ventas
260111 12:32:49	83 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 12:33:35	83 Quit	
260111 12:19:01	84 Connect	user84@localhost on practica using TCP/IP
260111 12:20:35	84 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 12:21:57	84 Query	SELECT * FROM clientes
260111 12:23:17	84 Query	SELECT * FROM clientes
260111 12:23:31	84 Query	SELECT * FROM clientes
260111 12:24:34	84 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 12:25:18	84 Quit	
260111 11:54:01	85 Connect	user85@localhost on practica using TCP/IP
260111 11:55:43	85 Query	SELECT * FROM proveedores
260111 11:56:07	85 Query	SELECT * FROM ventas
260111 11:56:53	85 Query	SELECT * FROM clientes
260111 11:58:50	85 Query	SELECT * FROM articulos
260111 12:00:02	85 Query	SELECT * FROM ventas
260111 12:00:07	85 Quit	
260111 11:32:01	86 Connect	user86@localhost on practica using TCP/IP
260111 11:33:35	86 Query	SHOW TABLES
260111 11:34:17	86 Query	SHOW COLUMNS FROM articulos
260111 11:36:12	86 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 11:36:51	86 Quit	
260111 11:20:01	87 Connect	user87@localhost on practica using TCP/IP
260111 11:21:32	87 Query	SELECT * FROM proveedores
260111 11:22:51	87 Query	SHOW COLUMNS FROM articulos
260111 11:24:46	87 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 11:25:23	87 Quit	
260111 11:12:01	88 Connect	user88@localhost on practica using TCP/IP
260111 11:12:31	88 Query	SELECT * FROM ventas
260111 11:14:31	88 Query	SELECT * FROM proveedores
260111 11:16:17	88 Query	SHOW TABLES
260111 11:17:03	88 Query	SELECT * FROM proveedores
260111 11:18:31	88 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 11:19:12	88 Quit	
260111 10:41:01	89 Connect	user89@localhost on practica using TCP/IP
260111 10:42:29	89 Query	SHOW TABLES
260111 10:43:18	89 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 10:44:44	89 Query	SELECT * FROM proveedores
260111 10:46:30	89 Query	SHOW COLUMNS FROM articulos
260111 10:47:16	89 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 10:47:33	89 Quit	
260111 10:25:01	90 Connect	user90@localhost on practica using TCP/IP
260111 10:26:26	90 Query	SELECT * FROM clientes
260111 10:27:57	90 Query	SELECT * FROM proveedores
260111 10:28:51	90 Query	SHOW TABLES
260111 10:30:02	90 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 10:31:29	90 Query	SELECT * FROM clientes
260111 10:31:47	90 Quit	
260111 09:41:01	91 Connect	user91@localhost on practica using TCP/IP
260111 09:41:47	91 Query	SHOW TABLES
260111 09:43:38	91 Query	SELECT * FROM clientes
260111 09:44:24	91 Query	SHOW TABLES
260111 09:44:49	91 Query	SELECT * FROM articulos
260111 09:46:42	91 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 09:47:43	91 Query	SHOW TABLES
260111 09:49:07	91 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 09:49:27	91 Quit	
260111 09:08:01	92 Connect	user92@localhost on practica using TCP/IP
260111 09:08:25	92 Query	SHOW COLUMNS FROM articulos
260111 09:09:21	92 Query	SELECT * FROM proveedores
260111 09:11:21	92 Query	SELECT * FROM clientes
260111 09:12:51	92 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 09:13:15	92 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 09:13:23	92 Quit	
260111 08:29:01	93 Connect	user93@localhost on practica using TCP/IP
260111 08:29:37	93 Query	SELECT * FROM ventas
260111 08:30:49	93 Query	SELECT * FROM ventas
260111 08:31:47	93 Query	SHOW COLUMNS FROM articulos
260111 08:32:20	93 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 08:32:41	93 Quit	
260111 08:06:01	94 Connect	user94@localhost on practica using TCP/IP
260111 08:07:35	94 Query	SELECT * FROM ventas
260111 08:07:43	94 Query	SELECT * FROM clientes
260111 08:08:30	94 Query	SHOW TABLES
260111 08:09:19	94 Query	SELECT * FROM articulos
260111 08:09:46	94 Quit	
260111 07:28:01	95 Connect	user95@localhost on practica using TCP/IP
260111 07:28:07	95 Query	SELECT * FROM ventas
260111 07:29:29	95 Query	SELECT * FROM clientes
260111 07:30:58	95 Query	SELECT * FROM ventas
260111 07:31:37	95 Query	SHOW COLUMNS FROM articulos
260111 07:32:25	95 Quit	
260111 07:21:01	96 Connect	user96@localhost on practica using TCP/IP
260111 07:21:40	96 Query	SELECT * FROM proveedores
260111 07:22:51	96 Query	SELECT * FROM ventas
260111 07:24:18	96 Query	SELECT * FROM ventas
260111 07:26:08	96 Query	SELECT * FROM ventas
260111 07:26:23	96 Quit	
260111 06:53:01	97 Connect	user97@localhost on practica using TCP/IP
260111 06:53:31	97 Query	SELECT * FROM clientes
260111 06:55:16	97 Query	SELECT * FROM proveedores
260111 06:56:18	97 Query	SELECT * FROM ventas
260111 06:57:22	97 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 06:57:58	97 Quit	
260111 06:15:01	98 Connect	user98@localhost on practica using TCP/IP
260111 06:16:38	98 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 06:18:14	98 Query	SELECT * FROM proveedores
260111 06:19:33	98 Query	SELECT * FROM clientes
260111 06:20:34	98 Query	SELECT * FROM proveedores
260111 06:20:43	98 Quit	
260111 06:09:01	99 Connect	user99@localhost on practica using TCP/IP
260111 06:10:35	99 Query	SHOW TABLES
260111 06:12:31	99 Query	SHOW TABLES
260111 06:13:33	99 Query	SELECT * FROM ventas
260111 06:15:03	99 Query	SHOW TABLES
260111 06:15:36	99 Quit	
260111 05:41:01	100 Connect	user100@localhost on practica using TCP/IP
260111 05:41:06	100 Query	SELECT * FROM clientes
260111 05:41:54	100 Query	SELECT * FROM articulos
260111 05:42:09	100 Query	SELECT * FROM articulos
260111 05:42:49	100 Quit	
260111 05:33:01	101 Connect	user101@localhost on practica using TCP/IP
260111 05:33:35	101 Query	SELECT * FROM proveedores
260111 05:34:18	101 Query	SELECT * FROM proveedores
260111 05:35:20	101 Query	SHOW COLUMNS FROM articulos
260111 05:36:49	101 Query	SHOW COLUMNS FROM articulos
260111 05:37:22	101 Quit	
260111 05:06:01	102 Connect	user102@localhost on practica using TCP/IP
260111 05:07:26	102 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 05:07:31	102 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 05:09:21	102 Query	SELECT * FROM clientes
260111 05:09:45	102 Query	SHOW COLUMNS FROM articulos
260111 05:10:45	102 Quit	
260111 04:59:01	103 Connect	user103@localhost on practica using TCP/IP
260111 05:00:38	103 Query	SHOW TABLES
260111 05:01:28	103 Query	SELECT * FROM ventas
260111 05:02:35	103 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 05:03:47	103 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 05:04:43	103 Quit	
260111 04:21:01	104 Connect	user104@localhost on practica using TCP/IP
260111 04:21:31	104 Query	SHOW COLUMNS FROM articulos
260111 04:22:55	104 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 04:23:08	104 Query	SELECT * FROM clientes
260111 04:23:30	104 Query	SELECT * FROM articulos
260111 04:24:24	104 Query	SHOW TABLES
260111 04:25:26	104 Query	SELECT * FROM ventas
260111 04:26:15	104 Quit	
260111 03:54:01	105 Connect	user105@localhost on practica using TCP/IP
260111 03:55:28	105 Query	SELECT * FROM clientes
260111 03:57:15	105 Query	SELECT * FROM proveedores
260111 03:58:34	105 Query	SHOW TABLES
260111 03:59:38	105 Query	SELECT * FROM proveedores
260111 04:00:52	105 Query	SELECT * FROM articulos
260111 04:01:27	105 Query	SHOW COLUMNS FROM articulos
260111 04:01:56	105 Quit	
260111 03:14:01	106 Connect	user106@localhost on practica using TCP/IP
260111 03:14:43	106 Query	SELECT * FROM proveedores
260111 03:15:30	106 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 03:17:07	106 Query	SELECT * FROM articulos
260111 03:17:15	106 Quit	
260111 02:46:01	107 Connect	user107@localhost on practica using TCP/IP
260111 02:47:10	107 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 02:48:08	107 Query	SHOW TABLES
260111 02:48:40	107 Query	SELECT * FROM proveedores
260111 02:50:05	107 Query	SHOW COLUMNS FROM articulos
260111 02:50:12	107 Quit	
260111 02:35:01	108 Connect	user108@localhost on practica using TCP/IP
260111 02:36:24	108 Query	SELECT * FROM articulos
260111 02:37:28	108 Query	SHOW TABLES
260111 02:38:19	108 Query	SHOW TABLES
260111 02:38:38	108 Query	SELECT * FROM proveedores
260111 02:39:29	108 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 02:39:54	108 Quit	
260111 02:10:01	109 Connect	user109@localhost on practica using TCP/IP
260111 02:10:26	109 Query	SELECT * FROM proveedores
260111 02:12:05	109 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 02:12:42	109 Query	SHOW TABLES
260111 02:12:48	109 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 02:13:14	109 Quit	
260111 01:47:01	110 Connect	user110@localhost on practica using TCP/IP
260111 01:49:01	110 Query	SHOW TABLES
260111 01:49:13	110 Query	SHOW TABLES
260111 01:50:14	110 Query	SHOW TABLES
260111 01:52:05	110 Query	SHOW TABLES
260111 01:53:05	110 Quit	
260111 01:11:01	111 Connect	user111@localhost on practica using TCP/IP
260111 01:12:39	111 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 01:13:44	111 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 01:14:39	111 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 01:16:24	111 Query	SELECT * FROM articulos
260111 01:16:37	111 Quit	
260111 01:03:01	112 Connect	user112@localhost on practica using TCP/IP
260111 01:04:10	112 Query	SELECT * FROM articulos
260111 01:05:05	112 Query	SELECT * FROM articulos
260111 01:06:01	112 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 01:06:28	112 Query	SELECT * FROM ventas
260111 01:08:04	112 Query	SELECT * FROM articulos
260111 01:08:56	112 Quit	
260111 00:57:01	113 Connect	user113@localhost on practica using TCP/IP
260111 00:58:26	113 Query	SHOW TABLES
260111 00:58:32	113 Query	SELECT * FROM clientes
260111 00:59:04	113 Query	SHOW COLUMNS FROM articulos
260111 00:59:41	113 Query	SELECT * FROM proveedores
260111 01:01:15	113 Query	SHOW COLUMNS FROM articulos
260111 01:01:47	113 Query	SHOW COLUMNS FROM articulos
260111 01:02:03	113 Quit	
260111 00:41:01	114 Connect	user114@localhost on practica using TCP/IP
260111 00:42:21	114 Query	SELECT * FROM clientes
260111 00:43:57	114 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 00:45:21	114 Query	SELECT * FROM clientes
260111 00:46:54	114 Query	SELECT * FROM articulos
260111 00:48:27	114 Query	SHOW TABLES
260111 00:49:13	114 Quit	
260111 00:20:01	115 Connect	user115@localhost on practica using TCP/IP
260111 00:20:44	115 Query	SELECT * FROM proveedores
260111 00:21:36	115 Query	SELECT * FROM proveedores
260111 00:22:35	115 Query	SELECT * FROM articulos
260111 00:23:02	115 Query	SHOW TABLES
260111 00:23:50	115 Quit	
260111 00:13:01	116 Connect	user116@localhost on practica using TCP/IP
260111 00:13:06	116 Query	SELECT * FROM proveedores
260111 00:14:14	116 Query	SELECT * FROM proveedores
260111 00:14:54	116 Query	SHOW COLUMNS FROM articulos
260111 00:16:35	116 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 00:17:12	116 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 00:18:09	116 Query	SELECT * FROM ventas
260111 00:18:50	116 Quit	
260110 23:34:01	117 Connect	user117@localhost on practica using TCP/IP
260110 23:35:04	117 Query	SHOW TABLES
260110 23:36:20	117 Query	SELECT * FROM clientes
260110 23:37:48	117 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 23:38:19	117 Query	SHOW TABLES
260110 23:38:41	117 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 23:39:16	117 Quit	
260110 22:54:01	118 Connect	user118@localhost on practica using TCP/IP
260110 22:55:17	118 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 22:55:53	118 Query	SELECT * FROM clientes
260110 22:57:37	118 Query	SELECT * FROM ventas
260110 22:58:04	118 Query	SELECT * FROM articulos
260110 22:59:51	118 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 23:00:13	118 Quit	
260110 22:19:01	119 Connect	user119@localhost on practica using TCP/IP
260110 22:19:52	119 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 22:20:20	119 Query	SELECT * FROM articulos
260110 22:20:47	119 Quit	
260110 22:04:01	120 Connect	user120@localhost on practica using TCP/IP
260110 22:05:24	120 Query	SHOW COLUMNS FROM articulos
260110 22:05:42	120 Query	SHOW COLUMNS FROM articulos
260110 22:06:45	120 Query	SELECT * FROM proveedores
260110 22:08:45	120 Query	SELECT * FROM ventas
260110 22:09:50	120 Query	SELECT * FROM articulos
260110 22:10:39	120 Query	SELECT * FROM clientes
260110 22:11:25	120 Quit	
260110 21:27:01	121 Connect	user121@localhost on practica using TCP/IP
260110 21:28:35	121 Query	SELECT * FROM clientes
260110 21:28:56	121 Query	SELECT * FROM clientes
260110 21:30:26	121 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 21:30:49	121 Query	SELECT * FROM ventas
260110 21:31:04	121 Query	SELECT * FROM clientes
260110 21:32:04	121 Quit	
260110 21:17:01	122 Connect	user122@localhost on practica using TCP/IP
260110 21:17:52	122 Query	SELECT * FROM clientes
260110 21:19:22	122 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 21:21:02	122 Query	SHOW TABLES
260110 21:21:12	122 Query	SELECT * FROM proveedores
260110 21:21:34	122 Query	SHOW COLUMNS FROM articulos
260110 21:21:39	122 Quit	
260110 20:49:01	123 Connect	user123@localhost on practica using TCP/IP
260110 20:49:58	123 Query	SELECT * FROM ventas
260110 20:51:03	123 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 20:51:38	123 Query	SHOW TABLES
260110 20:52:49	123 Query	SHOW TABLES
260110 20:52:58	123 Quit	
260110 20:26:01	124 Connect	user124@localhost on practica using TCP/IP
260110 20:26:23	124 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 20:27:19	124 Query	SELECT * FROM ventas
260110 20:28:55	124 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 20:30:43	124 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 20:30:58	124 Quit	
260110 19:44:01	125 Connect	user125@localhost on practica using TCP/IP
260110 19:44:28	125 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 19:46:28	125 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 19:48:03	125 Query	SELECT * FROM ventas
260110 19:48:08	125 Query	SHOW TABLES
260110 19:49:06	125 Query	SHOW COLUMNS FROM articulos
260110 19:50:00	125 Quit	
260110 19:31:01	126 Connect	user126@localhost on practica using TCP/IP
260110 19:32:34	126 Query	SHOW COLUMNS FROM articulos
260110 19:32:41	126 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 19:34:33	126 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 19:35:52	126 Query	SELECT * FROM articulos
260110 19:36:13	126 Quit	
260110 18:51:01	127 Connect	user127@localhost on practica using TCP/IP
260110 18:52:44	127 Query	SHOW TABLES
260110 18:53:04	127 Query	SELECT * FROM clientes
260110 18:54:19	127 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 18:54:53	127 Quit	
260110 18:21:01	128 Connect	user128@localhost on practica using TCP/IP
260110 18:22:46	128 Query	SELECT * FROM articulos
260110 18:24:03	128 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 18:25:03	128 Query	SELECT * FROM proveedores
260110 18:25:16	128 Query	SHOW COLUMNS FROM articulos
260110 18:25:29	128 Quit	
260110 17:59:01	129 Connect	user129@localhost on practica using TCP/IP
260110 18:00:56	129 Query	SELECT * FROM clientes
260110 18:01:39	129 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 18:01:52	129 Quit	
260110 17:31:01	130 Connect	user130@localhost on practica using TCP/IP
260110 17:31:52	130 Query	SELECT * FROM clientes
260110 17:33:36	130 Query	SELECT * FROM ventas
260110 17:34:29	130 Query	SHOW TABLES
260110 17:35:29	130 Quit	
260110 17:08:01	131 Connect	user131@localhost on practica using TCP/IP
260110 17:08:20	131 Query	SELECT * FROM proveedores
260110 17:09:00	131 Query	SELECT * FROM articulos
260110 17:10:44	131 Query	SELECT * FROM proveedores
260110 17:11:56	131 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 17:12:48	131 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 17:13:41	131 Quit	
260110 16:57:01	132 Connect	user132@localhost on practica using TCP/IP
260110 16:58:35	132 Query	SHOW COLUMNS FROM articulos
260110 16:59:54	132 Query	SHOW TABLES
260110 17:00:52	132 Query	SELECT * FROM articulos
260110 17:01:53	132 Query	SELECT * FROM articulos
260110 17:02:14	132 Quit	
260110 16:13:01	133 Connect	user133@localhost on practica using TCP/IP
260110 16:13:46	133 Query	SELECT * FROM ventas
260110 16:15:25	133 Query	SHOW COLUMNS FROM articulos
260110 16:16:24	133 Query	SHOW COLUMNS FROM articulos
260110 16:18:09	133 Query	SELECT * FROM clientes
260110 16:19:07	133 Query	SELECT * FROM ventas
260110 16:19:26	133 Quit	
260110 15:28:01	134 Connect	user134@localhost on practica using TCP/IP
260110 15:28:31	134 Query	SELECT * FROM proveedores
260110 15:28:48	134 Query	SELECT * FROM proveedores
260110 15:30:26	134 Query	SHOW COLUMNS FROM articulos
260110 15:30:41	134 Query	SHOW TABLES
260110 15:30:52	134 Quit	
260110 14:51:01	135 Connect	user135@localhost on practica using TCP/IP
260110 14:52:37	135 Query	SHOW COLUMNS FROM articulos
260110 14:52:44	135 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 14:54:03	135 Query	SELECT * FROM articulos
260110 14:54:42	135 Quit	
260110 14:07:01	136 Connect	user136@localhost on practica using TCP/IP
260110 14:08:31	136 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 14:10:25	136 Query	SELECT * FROM articulos
260110 14:10:41	136 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 14:11:33	136 Query	SELECT * FROM proveedores
260110 14:12:59	136 Query	SELECT * FROM articulos
260110 14:14:18	136 Query	SHOW TABLES
260110 14:15:09	136 Quit	
260110 13:44:01	137 Connect	user137@localhost on practica using TCP/IP
260110 13:45:06	137 Query	SELECT * FROM ventas
260110 13:46:26	137 Query	SHOW COLUMNS FROM articulos
260110 13:46:50	137 Query	SELECT * FROM proveedores
260110 13:48:24	137 Query	SELECT * FROM ventas
260110 13:49:33	137 Query	SELECT * FROM clientes
260110 13:50:11	137 Quit	
260110 13:36:01	138 Connect	user138@localhost on practica using TCP/IP
260110 13:36:37	138 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 13:37:50	138 Query	SELECT * FROM articulos
260110 13:38:11	138 Query	SELECT * FROM ventas
260110 13:38:17	138 Query	SELECT * FROM proveedores
260110 13:39:06	138 Quit	
260110 13:00:01	139 Connect	user139@localhost on practica using TCP/IP
260110 13:01:35	139 Query	SHOW TABLES
260110 13:03:00	139 Query	SELECT * FROM proveedores
260110 13:03:29	139 Query	SHOW COLUMNS FROM articulos
260110 13:05:22	139 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 13:06:13	139 Quit	
260110 12:50:01	140 Connect	user140@localhost on practica using TCP/IP
260110 12:50:08	140 Query	SHOW COLUMNS FROM articulos
260110 12:51:29	140 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 12:52:54	140 Query	SELECT * FROM clientes
260110 12:54:42	140 Query	SHOW TABLES
260110 12:55:38	140 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 12:56:21	140 Quit	
260110 12:23:01	141 Connect	user141@localhost on practica using TCP/IP
260110 12:24:09	141 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 12:24:20	141 Query	SELECT * FROM clientes
260110 12:26:19	141 Query	SELECT * FROM articulos
260110 12:26:36	141 Query	SELECT * FROM articulos
260110 12:27:08	141 Quit	
260110 11:49:01	142 Connect	user142@localhost on practica using TCP/IP
260110 11:49:54	142 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 11:51:44	142 Query	SHOW TABLES
260110 11:53:34	142 Query	SELECT * FROM clientes
260110 11:53:48	142 Quit	
260110 11:32:01	143 Connect	user143@localhost on practica using TCP/IP
260110 11:32:26	143 Query	SELECT * FROM proveedores
260110 11:32:47	143 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 11:34:38	143 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 11:36:21	143 Query	SELECT * FROM articulos
260110 11:38:17	143 Query	SELECT * FROM proveedores
260110 11:38:33	143 Quit	
260110 10:55:01	144 Connect	user144@localhost on practica using TCP/IP
260110 10:55:52	144 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 10:56:28	144 Query	SELECT * FROM ventas
260110 10:58:26	144 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 10:59:10	144 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 11:00:29	144 Query	SHOW COLUMNS FROM articulos
260110 11:01:06	144 Query	SELECT * FROM articulos
260110 11:01:51	144 Quit	
260110 10:38:01	145 Connect	user145@localhost on practica using TCP/IP
260110 10:39:21	145 Query	SHOW TABLES
260110 10:41:10	145 Query	SELECT * FROM proveedores
260110 10:41:27	145 Query	SHOW TABLES
260110 10:41:45	145 Query	SHOW COLUMNS FROM articulos
260110 10:43:07	145 Query	SELECT * FROM proveedores
260110 10:43:55	145 Quit	
260110 10:12:01	146 Connect	user146@localhost on practica using TCP/IP
260110 10:12:53	146 Query	SELECT * FROM articulos
260110 10:13:24	146 Query	SHOW COLUMNS FROM articulos
260110 10:14:21	146 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 10:15:26	146 Query	SELECT * FROM proveedores
260110 10:17:16	146 Query	SHOW COLUMNS FROM articulos
260110 10:17:43	146 Quit	
260110 09:39:01	147 Connect	user147@localhost on practica using TCP/IP
260110 09:39:14	147 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 09:40:09	147 Query	SELECT * FROM proveedores
260110 09:41:08	147 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 09:41:35	147 Quit	
260110 09:02:01	148 Connect	user148@localhost on practica using TCP/IP
260110 09:03:07	148 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 09:04:19	148 Query	SHOW COLUMNS FROM articulos
260110 09:04:55	148 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 09:05:43	148 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 09:06:20	148 Quit	
260110 08:46:01	149 Connect	user149@localhost on practica using TCP/IP
260110 08:47:00	149 Query	SELECT * FROM clientes
260110 08:48:36	149 Query	SELECT * FROM ventas
260110 08:50:15	149 Query	SHOW TABLES
260110 08:50:50	149 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 08:52:44	149 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 08:54:12	149 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 08:54:59	149 Quit	
260110 08:16:01	150 Connect	user150@localhost on practica using TCP/IP
260110 08:16:27	150 Query	SELECT * FROM articulos
260110 08:17:17	150 Query	SHOW COLUMNS FROM articulos
260110 08:17:48	150 Query	SELECT * FROM clientes
260110 08:18:29	150 Quit	
260110 07:37:01	151 Connect	user151@localhost on practica using TCP/IP
260110 07:38:38	151 Query	SELECT * FROM proveedores
260110 07:40:36	151 Query	SELECT * FROM proveedores
